#    energy (eV)  cross sec. (b)
1.000000e-05    2.681276e+05
1.102400e-05    2.553712e+05
1.215040e-05    2.432459e+05
1.339460e-05    2.316737e+05
1.476330e-05    2.206732e+05
1.627500e-05    2.101750e+05
1.793810e-05    2.001952e+05
1.977490e-05    1.906709e+05
2.179560e-05    1.816175e+05
2.402740e-05    1.729769e+05
2.648260e-05    1.647637e+05
2.919430e-05    1.569252e+05
3.217750e-05    1.494740e+05
3.547230e-05    1.423629e+05
3.909700e-05    1.356031e+05
4.310050e-05    1.291518e+05
4.750460e-05    1.230194e+05
5.236900e-05    1.171668e+05
5.772020e-05    1.116035e+05
6.363060e-05    1.062940e+05
7.013260e-05    1.012469e+05
7.731390e-05    9.643019e+04
8.521420e-05    9.185143e+04
9.393980e-05    8.748167e+04
1.035390e-04    8.332782e+04
1.141410e-04    7.936355e+04
1.258040e-04    7.559518e+04
1.386860e-04    7.199888e+04
1.528580e-04    6.858011e+04
1.685100e-04    6.531746e+04
1.857290e-04    6.221604e+04
2.047470e-04    5.925616e+04
2.256690e-04    5.644253e+04
2.487770e-04    5.375728e+04
2.741980e-04    5.120480e+04
3.022750e-04    4.876874e+04
3.331620e-04    4.645312e+04
3.672770e-04    4.424315e+04
4.048070e-04    4.214239e+04
4.462580e-04    4.013748e+04
4.918580e-04    3.823169e+04
5.422230e-04    3.641284e+04
5.976290e-04    3.468390e+04
6.588240e-04    3.303385e+04
7.261450e-04    3.146534e+04
8.005010e-04    2.996840e+04
8.822990e-04    2.854545e+04
9.726430e-04    2.718744e+04
1.072032e-03    2.589653e+04
1.181804e-03    2.466454e+04
1.302565e-03    2.349343e+04
1.435944e-03    2.237577e+04
1.582674e-03    2.131334e+04
1.744735e-03    2.029939e+04
1.923019e-03    1.933556e+04
2.119930e-03    1.841571e+04
2.336552e-03    1.754131e+04
2.575808e-03    1.670683e+04
2.839014e-03    1.591358e+04
3.129720e-03    1.515653e+04
3.449526e-03    1.443690e+04
3.802747e-03    1.375011e+04
4.191326e-03    1.309726e+04
4.620505e-03    1.247421e+04
5.092645e-03    1.188194e+04
5.614117e-03    1.131671e+04
6.187788e-03    1.077941e+04
6.821398e-03    1.026664e+04
7.518434e-03    9.779200e+03
8.288299e-03    9.314009e+03
9.135227e-03    8.871812e+03
1.007065e-02    8.449794e+03
1.109970e-02    8.048633e+03
1.223628e-02    7.665781e+03
1.348663e-02    7.301851e+03
1.486762e-02    6.954530e+03
1.638684e-02    6.624376e+03
1.806481e-02    6.309288e+03
1.991073e-02    6.009774e+03
2.194953e-02    5.723929e+03
2.419242e-02    5.452212e+03
2.508752e-02    5.354089e+03
2.530000e-02    5.331566e+03
2.789064e-02    5.077989e+03
3.074061e-02    4.836946e+03
3.388836e-02    4.606903e+03
3.735119e-02    4.388231e+03
4.117584e-02    4.179538e+03
4.538334e-02    3.981160e+03
5.003046e-02    3.791834e+03
5.514275e-02    3.611866e+03
6.078921e-02    3.440109e+03
6.700087e-02    3.276841e+03
7.386156e-02    3.121023e+03
8.140900e-02    2.972904e+03
8.974504e-02    2.831541e+03
9.891551e-02    2.697164e+03
1.090442e-01    2.568916e+03
1.201867e-01    2.447005e+03
1.324935e-01    2.330659e+03
1.460321e-01    2.220065e+03
1.609854e-01    2.114528e+03
1.774354e-01    2.014225e+03
1.956043e-01    1.918539e+03
2.155918e-01    1.827651e+03
2.376678e-01    1.741029e+03
2.619536e-01    1.658854e+03
2.887768e-01    1.580629e+03
3.182851e-01    1.506440e+03
3.508765e-01    1.435687e+03
3.867304e-01    1.368308e+03
4.263304e-01    1.303721e+03
4.698944e-01    1.241992e+03
5.180101e-01    1.182813e+03
5.709423e-01    1.126462e+03
6.294051e-01    1.072766e+03
6.937200e-01    1.022029e+03
7.647548e-01    9.739850e+02
8.429003e-01    9.285105e+02
9.292107e-01    8.851130e+02
1.024161e+00    8.439588e+02
1.129032e+00    8.045615e+02
1.261957e+00    7.607873e+02
1.390908e+00    7.238669e+02
1.533333e+00    6.889477e+02
1.690014e+00    6.558505e+02
1.863067e+00    6.243378e+02
2.053442e+00    5.945072e+02
2.263708e+00    5.661941e+02
2.460788e+00    5.434373e+02
2.712240e+00    5.185734e+02
3.074331e+00    4.870487e+02
3.341984e+00    4.667582e+02
3.683480e+00    4.446920e+02
4.004166e+00    4.268050e+02
4.352770e+00    4.105925e+02
5.216239e+00    3.748760e+02
5.591481e+00    3.614606e+02
6.164032e+00    3.447325e+02
6.889745e+00    3.255716e+02
7.489570e+00    3.123808e+02
8.371343e+00    2.953486e+02
9.100156e+00    2.833944e+02
1.003004e+01    2.700047e+02
1.136908e+01    2.542462e+02
1.253082e+01    2.416659e+02
1.381393e+01    2.304300e+02
1.501658e+01    2.208976e+02
1.655103e+01    2.114124e+02
1.955836e+01    1.938830e+02
2.067767e+01    1.885250e+02
