#    energy (eV)  cross sec. (b)
1.000000e-05    5.162909e+03
1.103037e-05    4.916119e+03
1.216691e-05    4.681151e+03
1.342055e-05    4.457439e+03
1.480336e-05    4.244446e+03
1.632865e-05    4.041660e+03
1.801111e-05    3.848592e+03
1.986691e-05    3.664779e+03
2.191394e-05    3.489778e+03
2.417189e-05    3.323168e+03
2.666248e-05    3.164549e+03
2.940971e-05    3.013539e+03
3.243999e-05    2.869775e+03
3.578251e-05    2.732910e+03
3.946943e-05    2.602616e+03
4.353624e-05    2.478579e+03
4.802208e-05    2.360500e+03
5.297013e-05    2.248095e+03
5.842801e-05    2.141093e+03
6.444825e-05    2.039237e+03
7.108881e-05    1.942281e+03
7.841358e-05    1.849992e+03
8.649308e-05    1.762147e+03
9.540506e-05    1.678534e+03
1.052353e-04    1.598951e+03
1.160784e-04    1.523207e+03
1.280388e-04    1.451117e+03
1.412315e-04    1.382508e+03
1.557836e-04    1.317213e+03
1.718351e-04    1.255075e+03
1.895404e-04    1.195941e+03
2.090701e-04    1.139669e+03
2.306120e-04    1.086122e+03
2.543736e-04    1.035169e+03
2.805835e-04    9.866847e+02
3.094939e-04    9.405514e+02
3.413832e-04    8.966556e+02
3.765583e-04    8.548895e+02
4.153577e-04    8.151502e+02
4.581549e-04    7.773395e+02
5.053618e-04    7.413641e+02
5.574328e-04    7.071347e+02
6.192063e-04    6.722936e+02
6.877917e-04    6.392759e+02
7.640113e-04    6.079565e+02
8.486358e-04    5.782752e+02
9.426798e-04    5.501193e+02
1.047094e-03    5.234347e+02
1.163131e-03    4.981203e+02
1.291963e-03    4.741274e+02
1.435136e-03    4.513652e+02
1.594096e-03    4.297901e+02
1.770751e-03    4.093206e+02
1.966885e-03    3.899178e+02
2.184851e-03    3.715084e+02
2.426853e-03    3.540574e+02
2.695791e-03    3.374992e+02
2.994386e-03    3.218026e+02
3.326218e-03    3.069084e+02
3.694641e-03    2.927886e+02
4.104073e-03    2.793903e+02
4.558654e-03    2.666883e+02
5.063835e-03    2.546351e+02
5.624722e-03    2.432079e+02
6.248042e-03    2.323642e+02
6.940096e-03    2.220835e+02
7.709183e-03    2.123276e+02
8.563078e-03    2.030781e+02
9.578649e-03    1.937340e+02
1.071467e-02    1.849020e+02
1.198541e-02    1.765539e+02
1.340687e-02    1.686640e+02
1.499691e-02    1.612059e+02
1.677552e-02    1.541567e+02
1.876508e-02    1.474938e+02
2.099059e-02    1.411961e+02
2.348005e-02    1.352437e+02
2.524188e-02    1.315757e+02
2.530000e-02    1.314613e+02
2.850018e-02    1.257140e+02
3.210358e-02    1.203035e+02
3.616435e-02    1.152059e+02
4.073676e-02    1.104073e+02
4.588954e-02    1.058868e+02
5.169155e-02    1.016319e+02
5.822999e-02    9.762393e+01
6.605495e-02    9.363632e+01
7.493142e-02    8.989553e+01
8.500073e-02    8.638616e+01
9.642314e-02    8.309539e+01
1.101467e-01    7.984466e+01
1.258296e-01    7.680611e+01
1.437385e-01    7.396896e+01
1.642043e-01    7.131857e+01
1.888980e-01    6.871922e+01
2.173053e-01    6.630228e+01
2.499846e-01    6.405605e+01
2.895928e-01    6.186968e+01
3.354930e-01    5.984738e+01
3.913909e-01    5.789428e+01
4.566022e-01    5.609964e+01
5.364098e-01    5.438237e+01
6.301976e-01    5.281741e+01
7.455697e-01    5.133912e+01
8.820634e-01    5.001174e+01
1.050855e+00    4.878484e+01
1.260778e+00    4.767660e+01
1.512636e+00    4.674375e+01
1.827608e+00    4.597735e+01
2.192699e+00    4.546620e+01
2.630721e+00    4.522708e+01
2.699990e+00    4.522267e+01
2.987503e+00    4.533637e+01
3.076155e+00    4.552900e+01
3.143733e+00    4.596839e+01
3.193975e+00    4.628790e+01
3.201192e+00    4.629664e+01
3.239144e+00    4.616289e+01
3.306248e+00    4.575966e+01
3.400474e+00    4.562674e+01
3.709731e+00    4.590330e+01
4.208245e+00    4.675020e+01
4.674594e+00    4.785635e+01
5.156250e+00    4.936885e+01
5.569124e+00    5.100445e+01
5.973218e+00    5.296205e+01
6.362069e+00    5.523602e+01
6.728768e+00    5.779829e+01
7.066753e+00    6.058922e+01
7.370090e+00    6.350361e+01
7.632981e+00    6.641663e+01
7.904862e+00    6.985633e+01
8.129482e+00    7.308142e+01
8.360485e+00    7.682177e+01
8.598052e+00    8.118495e+01
8.780862e+00    8.495922e+01
8.967119e+00    8.922844e+01
9.157776e+00    9.408566e+01
9.352028e+00    9.966754e+01
